endTime,artistName,trackName,msPlayed
2020-12-26 02:35,BTS,Dynamite,199053
2020-12-26 02:39,Billkin,โคตรพิเศษ - (From “แปลรักฉันด้วยใจเธอ”),238651
2020-12-26 02:42,Shawn Mendes,Teach Me How To Love,202356
2020-12-26 02:46,Three Man Down,ฝนตกไหม,262966
2020-12-26 02:50,F.HERO,จำเก่ง (Slipped Your Mind),220606
2020-12-26 02:54,Polycat,ข่าวดี,227750
2020-12-26 02:57,Maiyarap,แฟนใหม่หน้าคุ้น,173340
2020-12-26 03:00,Billkin,กีดกัน (Skyline) - Ost. แปลรักฉันด้วยใจเธอ,217777
2020-12-26 03:01,Chilling Sunday,คนเก่าเขาทำไว้ดี (Can’t win),64936
2020-12-26 03:51,Chilling Sunday,คนเก่าเขาทำไว้ดี (Can’t win),145573
2020-12-26 03:55,Lipta,เจอแต่คนใจร้าย feat. Ink Waruntorn,234500
2020-12-26 03:58,BOWKYLION,ลงใจ,216000
2020-12-26 04:02,Tilly Birds,แค่เธอเข้ามา (Worth The Wait),205875
2020-12-26 04:06,fellow fellow,เมษา (MAYSA) feat. BLACKSHEEP,239500
2020-12-26 04:09,UrboyTJ,กอดได้ไหม,209916
2020-12-26 04:13,Three Man Down,เลือกคนที่เขารักเรา,228500
2020-12-26 04:17,Ink Waruntorn,อยากเริ่มต้นใหม่กับคนเดิม (repeat),238000
2020-12-26 04:20,MEYOU,ภาวนา,160973
2020-12-26 04:23,BOWKYLION,ยิ้มมา,172000
2020-12-26 04:27,Three Man Down,ถ้าเธอรักฉันจริง,240250
2020-12-26 04:29,Ariana Grande,positions,172324
2020-12-26 04:33,DTK BOY BAND,รองช้ำ,218186
2020-12-26 04:36,YOUNGOHM,ก่อนนอนคืนนี้,161647
2020-12-26 04:39,Taylor Swift,willow,214706
2020-12-26 04:44,SERIOUS BACON,ไม่อยากฟัง,278884
2020-12-26 05:06,Lipta,โรคแอบชอบ (Love Fever),241500
2020-12-26 05:10,Finn Askew,Roses,201700
2020-12-26 05:13,Morvasu,Melbourne,182125
2020-12-26 05:16,First Anuwat,ถ้าเขาจะรัก (ยืนเฉยๆเขาก็รัก),207804
2020-12-26 05:21,Gavin D,A Rocket to the Moon,291891
2020-12-26 05:25,F.HERO,จำเลยรัก - Defendant Of Love,264000
2020-12-26 05:29,Three Man Down,ฝันถึงแฟนเก่า,242250
2020-12-26 05:32,Billkin,แปลไม่ออก - Ost. แปลรักฉันด้วยใจเธอ,128072
2020-12-26 05:35,Ink Waruntorn,ลบไม่ได้ช่วยให้ลืม (Erase),224500
2020-12-26 05:38,Shawn Mendes,Monster (Shawn Mendes & Justin Bieber),178994
2020-12-26 05:39,Ed Sheeran,Afterglow,21382
2020-12-26 05:43,SCRUBB,ใกล้ (Closer),257640
